date,A_absolute_return_strategy_nav,A_absolute_return_benchmark_nav,A_absolute_return_strategy_drawdown,A_absolute_return_benchmark_drawdown,A_absolute_return_w_cash,A_absolute_return_turnover,A_absolute_return_trading_cost,B_offensive_growth_strategy_nav,B_offensive_growth_benchmark_nav,B_offensive_growth_strategy_drawdown,B_offensive_growth_benchmark_drawdown,B_offensive_growth_w_cash,B_offensive_growth_turnover,B_offensive_growth_trading_cost
2021-09-17,448751.77139118244,453589.69114338304,0.0,0.0,0.53,0.5,0.0005,448822.5289540501,453589.69114338304,0.0,0.0,0.51,0.5,0.0005
2021-09-22,450707.5394488474,450552.260175905,0.0,-0.006696428571428603,0.53,0.0,0.0,450717.4616815301,450552.260175905,0.0,-0.006696428571428603,0.51,0.0,0.0
2021-09-23,450587.72565378353,453221.5176927798,-0.0002658349030735252,-0.0008116883116879858,0.53,0.0,0.0,450650.0173257749,453221.5176927798,-0.00014963776975407406,-0.0008116883116879858,0.51,0.0,0.0
2021-09-24,448423.5357445524,453865.8212313357,-0.005067595956100623,0.0,0.53,0.0,0.0,448497.3113593029,453865.8212313357,-0.004925813865618411,0.0,0.51,0.0,0.0
2021-09-27,447981.4578847672,456811.2088361628,-0.0060484489951373455,0.0,0.53,0.0,0.0,448112.34130356595,456811.2088361628,-0.00577994109268587,0.0,0.51,0.0,0.0
2021-09-28,448734.34278853657,455982.81857230514,-0.0043779978979801015,-0.0018134193028410683,0.53,0.0,0.0,448848.1605136814,455982.81857230514,-0.004147390165170739,-0.0018134193028410683,0.51,0.0,0.0
2021-09-29,446659.0902758352,452945.3876048271,-0.0089824305534425,-0.008462623413258208,0.53,0.0,0.0,446711.5504977572,452945.3876048271,-0.008887854419546315,-0.008462623413258208,0.51,0.0,0.0
2021-09-30,447397.42951625056,454233.99468193896,-0.007344252409544061,-0.005641748942172287,0.53,0.0,0.0,447474.3701787932,454233.99468193896,-0.007195397956488381,-0.005641748942172287,0.51,0.0,0.0
2021-10-08,449027.3957953729,460769.0734301493,-0.003727791320129903,0.0,0.53,0.0,0.0,449232.3432040724,460769.0734301493,-0.003295009853661046,0.0,0.51,0.0,0.0
2021-10-11,449299.3554962131,460677.0300674984,-0.0031243851708279147,-0.00019976028765489318,0.53,0.0,0.0,449501.5853315339,460677.0300674984,-0.0026976464267881584,-0.00019976028765489318,0.51,0.0,0.0
