date,hs300,nasdaq100,gold,dividend,price_hs300,price_nasdaq100,price_gold,price_dividend,erp_pct,cn_10y_rate,w_hs300,w_nasdaq100,w_gold,w_dividend,w_cash,requested_cash_floor,hs300_trend_filter_passed,nasdaq_trend_filter_passed,gold_crisis_hedge_active,cash_floor_buffer,target_cash_pct,cash_rf_daily,strategy_return,benchmark_return,strategy_nav,benchmark_nav,strategy_drawdown,benchmark_drawdown,high_cash_defense_mode
2025-01-02,-0.02809547488811548,0.008594229588704705,0.00826585695006754,-0.020462633451957424,3.909,1.643,5.977,1.101,6.838245945945946,1.6077,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.4308e-05,-0.008414369149808976,-0.02809547488811548,0.991585630850191,0.9719045251118845,0.0,0.0,True
2025-01-03,-0.010232796111537379,-0.0060864272671942166,0.008700016730801341,-0.013623978201634745,3.869,1.633,6.029,1.086,6.9210491901108275,1.6041,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.4308e-05,-0.002836069211969288,-0.010232796111537379,0.9887734253715056,0.961959224266534,-0.0028360692119693276,-0.010232796111537379,True
2025-01-06,-0.00413543551305251,0.02204531537048382,-0.006468734450157498,0.0009208103130753376,3.853,1.669,5.99,1.087,6.950408547008546,1.5966,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.4164e-05,-0.002163818621333327,-0.00413543551305251,0.9866338990214072,0.9579811039283938,-0.00499375109393041,-0.014325914556152397,True
2025-01-07,0.007007526602647252,-0.005991611743559,0.0016694490818029983,0.0036798528058876734,3.88,1.659,6.0,1.091,6.90133829787234,1.6093,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.386400000000001e-05,0.0026632949879055634,0.007007526602647252,0.9892615961395685,0.9646941819990054,-0.0023437559382842865,-0.0074187771808647,True
2025-01-08,-0.001546391752577314,-0.01024713682941536,0.0050000000000001155,0.0036663611365719273,3.874,1.642,6.03,1.095,6.889276720475786,1.6069,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.4372e-05,0.0011891050323414836,-0.001546391752577314,0.9904379320818402,0.9632023868722028,-0.0011574378779236616,-0.008953696597595262,True
2025-01-09,-0.0020650490449147796,-0.0036540803897685548,0.005804311774461057,-0.010045662100456543,3.866,1.636,6.065,1.084,6.917519931565441,1.6368,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.4276e-05,-0.0008365388214049647,-0.0020650490449147796,0.9896093923014616,0.9612133267031328,-0.0019930084576104123,-0.011000255819902716,True
2025-01-10,-0.01112260734609416,-0.003667481662591676,0.0065952184666118185,-0.01291512915129156,3.823,1.63,6.105,1.07,7.024208658008658,1.6338,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.5472e-05,-0.0033726887158949097,-0.01112260734609416,0.9862717478709029,0.9505221282943809,-0.005358975376369646,-0.022000511639805542,True
2025-01-13,-0.0039236201935652915,-0.023312883435582687,0.002457002457002311,-0.01121495327102806,3.808,1.592,6.12,1.058,7.028897306689835,1.6592,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.5352e-05,-0.00214560674764507,-0.0039236201935652915,0.9841555965536594,0.9467926404773744,-0.0074930838702866875,-0.025837810181632004,True
2025-01-14,0.02573529411764719,0.011934673366834181,-0.008496732026143872,0.01512287334593565,3.906,1.611,6.068,1.074,6.873287563884157,1.6446,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.6368e-05,0.007029455326073371,0.02573529411764719,0.9910736743535384,0.9711586275484835,-0.0005163008425340676,-0.0007674597083650037,True
2025-01-15,-0.005888376856118871,-0.0062073246430788265,0.005603164139749595,0.003724394785847407,3.883,1.601,6.102,1.078,6.928643835616438,1.633,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.5784e-05,0.00023351143179731226,-0.005888376856118871,0.9913051013862533,0.9654400795624068,-0.0002829099728858253,-0.006651317472499141,True
2025-01-16,0.000515065670873005,0.0224859462835727,0.0032776138970829205,0.008348794063079756,3.885,1.637,6.122,1.087,6.893023208191126,1.6394,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.532e-05,0.0020627363065967986,0.000515065670873005,0.9933499024097974,0.9659373446046744,0.0,-0.00613967766692225,True
2025-01-17,0.0033462033462035023,-0.004276114844227297,0.002776870303822232,-0.002759889604415755,3.898,1.63,6.139,1.084,6.865849190110827,1.6593,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.5576e-05,0.0010041718566529587,0.0033462033462035023,0.9943473964256062,0.9691695673794135,0.0,-0.002814018930672346,True
2025-01-20,0.004874294510005095,0.009815950920245342,-0.0019547157517512126,0.0009225092250921829,3.917,1.646,6.127,1.085,6.857723208191127,1.6747,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.6372e-05,0.0009925556609148586,0.004874294510005095,0.9953343415628445,0.973893585280955,0.0,0.0,True
2025-01-21,0.0012764871074804063,0.0006075334143378353,0.0,-0.008294930875575979,3.922,1.647,6.127,1.076,6.897408547008547,1.6496,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.6988e-05,-0.0008983226544662953,0.0012764871074804063,0.9944402101750502,0.9751367478866241,-0.0008983226544663214,0.0,True
2025-01-22,-0.009178990311065838,0.006071645415907767,0.008813448669822144,-0.013940520446096727,3.886,1.657,6.181,1.061,6.967927696289905,1.6602,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.5984e-05,-0.0025967423107165393,-0.009178990311065838,0.9918579052058109,0.9661859771258086,-0.003492732252737385,-0.009178990311065727,True
2025-01-23,0.002830674215131168,-0.008449004224502121,0.0009707167125061478,0.01602262016965139,3.897,1.643,6.187,1.078,6.897143835616438,1.6645,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.640799999999999e-05,0.0033317681217317303,0.002830674215131168,0.9951625457556632,0.9689209348582799,-0.00017260110498307224,-0.006374298827129032,True
2025-01-24,0.008211444701052173,0.0006086427267193439,0.0050105058994665,0.0037105751391466324,3.929,1.644,6.218,1.082,6.875923208191126,1.6565,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.658e-05,0.003638180626028338,0.008211444701052173,0.9987831268493805,0.9768771755345604,0.0,0.0,True
2025-01-27,-0.0055993891575464305,-0.017639902676398922,-0.002573174654229682,0.013863216266173595,3.907,1.615,6.202,1.097,6.887987563884157,1.6299,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.626e-05,0.00019150421969349539,-0.0055993891575464305,0.9989743980327309,0.9714072600696176,0.0,-0.0055993891575464305,True
2025-02-05,-0.005119017148707439,-0.0018575851393187737,0.038213479522734684,-0.01823154056517773,3.887,1.612,6.439,1.077,6.985151979345956,1.6207,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.519599999999999e-05,0.003654288932593418,-0.005119017148707439,1.0026249391194062,0.9664346096469424,0.0,-0.010689742937134095,True
2025-02-06,0.011577051710830899,0.009305210918113982,-0.005746233887249597,0.0009285051067782213,3.932,1.627,6.402,1.078,6.929349190110827,1.5958,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.4828e-05,0.0019102231162745386,0.011577051710830899,1.0045401764550657,0.9776230730979617,0.0,0.0,True
2025-02-07,0.014242115971515812,-0.0024585125998770607,0.00281162136832247,0.0009276437847864916,3.988,1.623,6.42,1.079,6.849885376162299,1.6032,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.3832e-05,0.004287532634261421,0.014242115971515812,1.0088471752440435,0.9915464942814526,0.0,0.0,True
2025-02-10,0.0010030090270811698,-0.010474430067775709,0.015264797507788197,0.0,3.992,1.606,6.518,1.079,6.804618565400844,1.6342,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.4128e-05,0.003329362958327932,0.0010030090270811698,1.0122059936599148,0.9925410243659876,0.0,0.0,True
2025-02-11,-0.004008016032064132,0.0006226650062266526,0.010125805461798087,0.009267840593141896,3.976,1.607,6.584,1.089,6.804303204047219,1.6274,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.536800000000002e-05,0.0024394803733148685,-0.004008016032064132,1.0146752503151997,0.9885629040278473,0.0,-0.004008016032064132,True
2025-02-12,0.009557344064386353,0.001244555071561848,-0.006986634264884439,0.0018365472910928382,4.014,1.609,6.538,1.091,6.727604013377928,1.6336,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.5096e-05,0.001293529656783626,0.009557344064386353,1.0159877628434866,0.9980109398309304,0.0,0.0,True
2025-02-13,-0.0024912805181864783,0.005593536357986428,0.004894463138574556,0.002749770852429112,4.004,1.618,6.57,1.094,6.747629673093043,1.6346,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.5344e-05,0.0007946757260326585,-0.0024912805181864783,1.0167951436565645,0.9955246146195926,0.0,-0.0024912805181864783,True
2025-02-14,0.007492507492507627,0.0067985166872681635,0.0053272450532724225,0.0,4.034,1.629,6.605,1.094,6.66486755407654,1.6546,0.25,0.0,0.2,0.15,0.4,0.1,False,False,True,0.30000000000000004,0.4,6.5384e-05,0.0029647294837813914,0.007492507492507627,1.0198096661979288,1.0029835902536057,0.0,0.0,True
